Jenis Daging Unggas,Populasi 2017,Populasi 2018,Produksi 2017,Produksi 2018,Skala Produksi
0,1,11,3,4,1
1,70,74,1,1,0
0,61,66,41,7,0
1,32,28,37,39,0
0,74,1,6,5,1
1,30,26,32,38,0
0,40,31,56,62,1
1,45,68,58,19,1
0,34,32,10,37,1
1,44,45,54,25,1
0,8,7,14,12,1
1,19,15,71,18,1
0,33,29,33,42,1
1,38,36,47,51,1
0,9,13,2,74,1
1,21,20,57,36,1
0,15,30,35,48,1
1,20,16,25,31,1
0,3,2,30,16,1
1,36,38,44,49,1
0,60,62,42,46,0
1,16,14,29,35,0
0,46,41,24,26,0
1,4,4,55,56,1
0,59,51,17,32,0
1,39,39,63,71,0
0,7,6,15,14,1
1,22,21,27,33,1
0,42,44,34,41,1
1,69,40,22,22,1
0,63,60,43,47,0
1,62,67,70,23,1
0,11,73,38,11,1
1,73,19,16,59,1
0,5,5,66,65,1
1,35,37,9,9,0
0,13,12,8,13,1
1,6,10,13,17,0
0,56,56,61,58,0
1,28,33,62,63,1
0,55,55,48,52,0
1,14,25,73,73,0
0,12,8,59,64,1
1,17,46,11,15,0
0,10,9,49,53,1
1,24,23,21,27,1
0,31,27,36,43,1
1,50,54,65,70,1
0,64,63,7,6,1
1,27,24,45,50,1
0,2,3,68,66,0
1,41,42,19,20,1
0,65,64,50,54,0
1,18,18,64,61,0
0,71,71,26,28,0
1,72,72,4,3,0
0,66,65,60,60,0
1,25,53,67,67,0
0,37,22,23,29,0
1,0,0,5,8,0
0,48,43,46,2,1
1,53,49,53,55,1
0,54,58,39,45,0
1,29,34,51,0,0
0,57,69,18,21,0
1,68,52,31,68,0
0,52,50,52,57,0
1,51,59,31,40,0
0,67,70,72,72,0
1,43,61,28,34,1
0,47,48,0,0,0
1,49,47,12,10,0
0,23,17,40,44,0
1,0,0,20,24,0
0,58,57,23,30,0
1,26,35,69,69,0
