Kota/Kabupaten,Populasi 2017,Populasi 2018,Produksi 2017,Produksi 2018,Skala Produksi
Pacitan,1054841.0,1680399.0,1085266.0,1108444.0,Tinggi
ponorogo,681215.0,799298.0,272486.0,1243974.0,Rendah
Trenggalek,986092.0,1034133.0,1151509.0,1179883.0,Tinggi
Tulungagung,3711079.0,2459964.0,5697350.0,7195730.0,Tinggi
Blitar,2615700.0,2620400.0,1404350.0,2359113.0,Tinggi
Kediri,1333712.0,1347603.0,1778284.0,1799493.0,Tinggi
Malang,2367744.0,2416742.0,2635979.0,2733759.0,Tinggi
Lumajang,1343244.0,1754937.0,1051120.0,977209.0,Tinggi
Jember,1753401.0,2418468.0,2709802.0,3660370.0,Tinggi
Banyuwangi,1101142.0,1078992.0,2337166.0,1947029.0,Tinggi
Bondowoso,662655.0,694197.0,278607.0,279314.0,Rendah
Situbondo,420486.0,369160.0,135306.0,142275.0,Rendah
Probolinggo,647125.0,550737.0,11704.0,18754.0,Rendah
Pasuruan,1277600.0,1276439.0,1968523.0,1891124.0,Tinggi
Sidoarjo,383216.0,391964.0,2637360.0,2724840.0,Tinggi
Mojokerto,703450.0,669425.0,295.0,290.0,Rendah
Jombang,1559285.0,954252.0,2884677.0,1731973.0,Tinggi
Nganjuk,1225246.0,1226669.0,728235.0,738879.0,Tinggi
Madiun,1634883.0,1685054.0,1307906.0,1860978.0,Tinggi
Magetan,588918.0,592931.0,583029.0,613422.0,Rendah
Ngawi,584797.0,590586.0,306028.0,32936.0,Rendah
Bojonegoro,1560009.0,1578729.0,53136.0,7301.0,Tinggi
Tuban,1523366.0,1584907.0,411309.0,427761.0,Tinggi
Lamongan,2071171.0,2138982.0,2785025.0,2954294.0,Tinggi
Gresik,712294.0,726626.0,1175980.0,1188405.0,Tinggi
Bangkalan,1072042.0,1097987.0,74344.0,75562.0,Rendah
Sampang,774645.0,762499.0,433059.0,448341.0,Rendah
Pamekasan,865404.0,865863.0,167061.0,156787.0,Rendah
Sumenep,781000.0,787853.0,536073.0,674173.0,Rendah
Surabaya,22729.0,13992.0,134005.0,15898.0,Rendah
Batu,44540.0,38775.0,3921335.0,1040430.0,Tinggi
Kota Kediri,58131.0,62208.0,206305.0,229180.0,Rendah
Kota Blitar,62560.0,80670.0,112090.0,117825.0,Rendah
Kota Malang,54505.0,54565.0,476.0,532.0,Rendah
Kota Probolinggo,80355.0,82047.0,92187.0,94149.0,Rendah
Kota Pasuruan,43701.0,48261.0,0.0,0.0,Rendah
Kota Mojokerto,13500.0,11900.0,217755.0,220210.0,Rendah
Kota Madiun,63417.0,60880.0,134005.0,158980.0,Rendah
