Populasi 2017,Populasi 2018,Produksi 2017,Produksi 2018,Skala Produksi
854900.0,992350.0,1026960.0,1038660.0,0
2329290.0,2383600.0,2795148.0,2552413.0,0
2028354.0,2089204.0,2434025.0,2507045.0,0
4818398.0,8644073.0,5780182.0,10052845.0,1
4016800.0,4030800.0,5566800.0,14526988.0,1
11280929.0,11445031.0,9882094.0,10025848.0,1
28927203.0,29128017.0,30865325.0,31849135.0,1
11947743.0,12421375.0,5706638.0,2328790.0,1
11851934.0,11794938.0,16804626.0,17475053.0,1
2939046.0,3183304.0,3468020.0,3819864.0,1
1927800.0,1928300.0,2037251.0,2088593.0,0
1190350.0,1132706.0,5678683.0,5756224.0,1
3364300.0,3458165.0,692476.0,839303.0,0
12007175.0,12559629.0,18432660.0,18785235.0,1
85400.0,347403.0,13380000.0,13459500.0,1
7213900.0,8608093.0,9349339.0,13516508.0,1
9369660.0,12339850.0,10681412.0,65410630.0,1
2932700.0,3060700.0,1344698.0,1384103.0,0
1254136.0,1637319.0,1776731.0,1968040.0,0
16629206.0,21452508.0,6024336.0,7541427.0,1
1702000.0,2012650.0,935915.0,95098.0,0
1929109.0,4883057.0,1495560.0,1913670.0,0
13697425.0,14041890.0,13166808.0,15163054.0,1
51171862.0,59038537.0,7530346.0,8197117.0,1
16391460.0,16715708.0,3899947.0,3956142.0,1
372153.0,377981.0,12043813.0,11224606.0,1
100261.0,119465.0,698675.0,698784.0,0
896355.0,913600.0,1095242.0,1097056.0,0
144715.0,580520.0,737491.0,757367.0,0
0.0,0.0,1147740.0,1269640.0,0
561000.0,538000.0,48391312.0,49800902.0,1
169490.0,217000.0,444517.0,0.0,0
84180.0,56009.0,2401243.0,768754.0,0
525000.0,651600.0,2401243.0,2638740.0,0
39350.0,68100.0,19316700.0,19427850.0,1
46000.0,41500.0,1566511.0,1597884.0,0
0.0,0.0,12894.0,131251.0,0
16000.0,25050.0,808232.0,776172.0,0
